country_name,year,population
Bhutan,2020,"771,608"
Djibouti,2020,"988,000"
Eswatini,2020,"1,160,164"
Cyprus,2020,"1,207,359"
Mauritius,2020,"1,271,768"
Trinidad and Tobago,2020,"1,399,488"
Timor-Leste,2020,"1,318,445"
Estonia,2020,"1,326,535"
Latvia,2020,"1,886,198"
Equatorial Guinea,2020,"1,402,985"
Bahrain,2020,"1,701,575"
Guinea-Bissau,2020,"1,968,001"
Slovenia,2020,"2,078,938"
Gabon,2020,"2,225,734"
Lesotho,2020,"2,142,249"
Botswana,2020,"2,351,627"
Gambia,2020,"2,416,668"
Lithuania,2020,"2,722,289"
Puerto Rico,2020,"2,860,853"
Qatar,2020,"2,881,053"
Namibia,2020,"2,540,905"
Jamaica,2020,"2,961,167"
Albania,2020,"2,877,797"
Armenia,2020,"2,963,243"
Bosnia and Herzegovina,2020,"3,280,819"
Eritrea,2020,"3,546,421"
Mongolia,2020,"3,278,290"
Uruguay,2020,"3,473,730"
Croatia,2020,"4,105,267"
Moldova,2020,"4,033,963"
Georgia,2020,"3,989,167"
Kuwait,2020,"4,270,571"
Panama,2020,"4,314,767"
Central African Republic,2020,"4,829,767"
Mauritania,2020,"4,649,658"
New Zealand,2020,"4,822,233"
Ireland,2020,"4,937,786"
North Macedonia,2020,"2,083,374"
State of Palestine,2020,"5,101,414"
Liberia,2020,"5,057,681"
Oman,2020,"5,106,626"
Norway,2020,"5,421,241"
Costa Rica,2020,"5,094,118"
Slovakia,2020,"5,459,642"
Congo,2020,"5,518,087"
Finland,2020,"5,540,720"
Denmark,2020,"5,792,202"
Singapore,2020,"5,850,342"
Turkmenistan,2020,"6,031,200"
El Salvador,2020,"6,486,205"
Libya,2020,"6,871,292"
Lebanon,2020,"6,825,445"
Nicaragua,2020,"6,624,554"
Bulgaria,2020,"6,948,445"
Hong Kong,2020,"7,496,981"
Kyrgyzstan,2020,"6,524,195"
Paraguay,2020,"7,132,538"
Laos,2020,"7,275,560"
Sierra Leone,2020,"7,976,983"
Switzerland,2020,"8,654,622"
Togo,2020,"8,278,724"
Israel,2020,"8,655,535"
Serbia,2020,"8,737,371"
Tajikistan,2020,"9,537,645"
United Arab Emirates,2020,"9,890,402"
Austria,2020,"9,006,398"
Hungary,2020,"9,660,351"
Papua New Guinea,2020,"8,947,024"
Belarus,2020,"9,449,323"
Honduras,2020,"9,904,607"
Sweden,2020,"10,099,265"
Azerbaijan,2020,"10,139,177"
Portugal,2020,"10,196,709"
Jordan,2020,"10,203,134"
South Sudan,2020,"11,193,725"
Greece,2020,"10,423,054"
Cuba,2020,"11,326,616"
Dominican Republic,2020,"10,847,910"
Belgium,2020,"11,589,623"
Haiti,2020,"11,402,528"
Tunisia,2020,"11,818,619"
Bolivia,2020,"11,673,021"
Burundi,2020,"11,890,784"
Rwanda,2020,"12,952,218"
Zimbabwe,2020,"14,862,924"
Benin,2020,"12,123,200"
Guinea,2020,"13,132,795"
Chad,2020,"16,425,864"
Cambodia,2020,"16,718,965"
Somalia,2020,"15,893,222"
Senegal,2020,"16,743,927"
Netherlands,2020,"17,134,872"
Syria,2020,"17,500,658"
Ecuador,2020,"17,643,054"
Guatemala,2020,"17,915,568"
Czech Republic (Czechia),2020,"10,708,981"
Zambia,2020,"18,383,955"
Chile,2020,"19,116,201"
Malawi,2020,"19,129,952"
Romania,2020,"19,237,691"
Mali,2020,"20,250,833"
Burkina Faso,2020,"20,903,273"
Sri Lanka,2020,"21,413,249"
Kazakhstan,2020,"18,776,707"
Taiwan,2020,"23,816,775"
Niger,2020,"24,206,644"
North Korea,2020,"25,778,816"
Australia,2020,"25,499,884"
Côte d'Ivoire,2020,"26,378,274"
Yemen,2020,"29,825,964"
Madagascar,2020,"27,691,018"
Nepal,2020,"29,136,808"
Cameroon,2020,"26,545,863"
Ghana,2020,"31,072,940"
Venezuela,2020,"28,435,940"
Angola,2020,"32,866,272"
Mozambique,2020,"31,255,435"
Uzbekistan,2020,"33,469,203"
Saudi Arabia,2020,"34,813,871"
Malaysia,2020,"32,365,999"
Peru,2020,"32,971,854"
Morocco,2020,"36,910,560"
Ukraine,2020,"43,733,762"
Poland,2020,"37,846,611"
Afghanistan,2020,"38,928,346"
Sudan,2020,"43,849,260"
Iraq,2020,"40,222,493"
Argentina,2020,"45,195,774"
Algeria,2020,"43,851,044"
Canada,2020,"37,742,154"
Uganda,2020,"45,741,007"
Spain,2020,"46,754,778"
Colombia,2020,"50,882,891"
Japan,2020,"126,476,461"
South Korea,2020,"51,269,185"
Mexico,2020,"128,932,753"
Ethiopia,2020,"114,963,588"
Bangladesh,2020,"164,689,383"
Nigeria,2020,"206,139,589"
Brazil,2020,"212,559,417"
Pakistan,2020,"220,892,340"
Indonesia,2020,"273,523,615"
United States,2020,"331,002,651"
India,2020,"1,380,004,385"
Russia,2020,"145,934,462"
